SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,300 Ivy St #100,San Francisco,CA,94102,949000,1,1.0,San Francisco,825,22794,2014,4,1150,586,Active,,,http://www.redfin.com/CA/San-Francisco/300-Ivy-St-94102/unit-100/home/69054847,San Francisco MLS,421606420,N,Y,37.7773806,-122.4233752
MLS Listing,,Single Family Residential,916 Athens St,San Francisco,CA,94112,1395000,3,2.0,San Francisco,1777,3300,1923,4,785,,Active,,,http://www.redfin.com/CA/San-Francisco/916-Athens-St-94112/home/1584046,San Francisco MLS,421610995,N,Y,37.7145926,-122.4340502
MLS Listing,,Condo/Co-op,1000 3Rd St #314,San Francisco,CA,94158,1478888,2,2.0,Mission,1222,,2018,4,1210,962,Active,,,http://www.redfin.com/CA/San-Francisco/1000-3rd-St-94158/unit-314/home/145564281,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40972959,N,Y,37.7752125,-122.3902276
MLS Listing,,Single Family Residential,370 Harkness Ave,SAN FRANCISCO,CA,94134,1188000,3,3.0,SAN FRANCISCO,1710,1873,1961,4,695,,Active,November-20-2021 01:00 PM,November-20-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/370-Harkness-Ave-94134/home/782219,MLSListings,ML81869925,N,Y,37.7179727,-122.4046275
MLS Listing,,Single Family Residential,12 Flood Ave,San Francisco,CA,94131,1198000,2,2.0,San Francisco,,4216,1900,4,,,Active,November-20-2021 02:00 PM,November-20-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/12-Flood-Ave-94131/home/1972185,San Francisco MLS,421611015,N,Y,37.730168,-122.440937
MLS Listing,,Condo/Co-op,677 Arguello Blvd #103,San Francisco,CA,94118,1425000,3,3.0,San Francisco,1234,5969,1998,4,1155,539,Active,,,http://www.redfin.com/CA/San-Francisco/677-Arguello-Blvd-94118/unit-103/home/1375977,San Francisco MLS,421611040,N,Y,37.7779791,-122.4589757
MLS Listing,,Condo/Co-op,555 Golden Gate Ave Unit 9G,San Francisco,CA,94102,1198000,2,2.0,San Francisco,912,,2021,4,1314,633,Active,,,http://www.redfin.com/CA/San-Francisco/555-Golden-Gate-Ave-94102/unit-9G/home/176728356,San Francisco MLS,421611191,N,Y,37.7808655,-122.4196054
MLS Listing,,Condo/Co-op,555 Golden Gate Ave Unit 10B,San Francisco,CA,94103,828888,1,1.0,San Francisco,,,,4,,553,Active,,,http://www.redfin.com/CA/San-Francisco/555-Golden-Gate-Ave-94102/unit-10B/home/177166205,San Francisco MLS,421611192,N,Y,37.7808655,-122.4196054
MLS Listing,,Condo/Co-op,4231 26th St,SAN FRANCISCO,CA,94131,1450000,2,1.0,SAN FRANCISCO,922,,1907,4,1573,,Active,,,http://www.redfin.com/CA/San-Francisco/4231-26th-St-94131/unit-4231A/home/1599220,MLSListings,ML81866853,N,Y,37.747929,-122.4349606
MLS Listing,,Condo/Co-op,2505 19th St,San Francisco,CA,94110,1049000,2,1.0,San Francisco,1136,2916,1925,4,923,436,Active,November-16-2021 02:00 PM,November-16-2021 03:30 PM,http://www.redfin.com/CA/San-Francisco/2505-19th-St-94110/home/92196573,San Francisco MLS,421610294,N,Y,37.7605102,-122.4073953
MLS Listing,,Single Family Residential,101 St Francis Blvd,San Francisco,CA,94127,3975000,4,3.0,San Francisco,3323,6481,1925,4,1196,223,Active,November-16-2021 01:00 PM,November-16-2021 02:30 PM,http://www.redfin.com/CA/San-Francisco/101-St-Francis-Blvd-94127/home/1928154,San Francisco MLS,421609759,N,Y,37.7350605,-122.4694351
MLS Listing,,Condo/Co-op,135 Pixley St #1,San Francisco,CA,94123,1115000,1,1.0,San Francisco,,2283,1890,4,,150,Active,,,http://www.redfin.com/CA/San-Francisco/135-Pixley-St-94123/unit-1/home/177164931,San Francisco MLS,421606221,N,Y,37.7985006,-122.4348023
MLS Listing,,Condo/Co-op,720 Moraga St #3,San Francisco,CA,94122,850000,1,1.0,San Francisco,788,,1955,4,1079,300,Active,,,http://www.redfin.com/CA/San-Francisco/720-Moraga-St-94122/unit-3/home/1778352,San Francisco MLS,421610341,N,Y,37.7566224,-122.4704964
MLS Listing,,Condo/Co-op,280 Spear St Unit 30A,San Francisco,CA,94105,2525000,2,2.0,San Francisco,1498,47916,,4,1686,1302,Active,,,http://www.redfin.com/CA/San-Francisco/280-Spear-St-94105/unit-30A/home/177164211,San Francisco MLS,421611174,N,Y,37.7901615,-122.3913352
MLS Listing,,Single Family Residential,2124 Funston Ave,SAN FRANCISCO,CA,94116,1788800,3,2.0,SAN FRANCISCO,1800,2996,1972,4,994,,Active,November-21-2021 01:00 PM,November-21-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2124-Funston-Ave-94116/home/654188,MLSListings,ML81869875,N,Y,37.7484654,-122.4693356
MLS Listing,,Single Family Residential,2566 19th Ave,San Francisco,CA,94116,1098000,4,1.0,San Francisco,1830,2474,1932,4,600,,Active,,,http://www.redfin.com/CA/San-Francisco/2566-19th-Ave-94116/home/1147662,San Francisco MLS,421611063,N,Y,37.7399674,-122.4751398
MLS Listing,,Single Family Residential,608 Taraval St,San Francisco,CA,94116,1395000,3,1.5,San Francisco,2040,2818,1919,4,684,,Active,,,http://www.redfin.com/CA/San-Francisco/608-Taraval-St-94116/home/1612130,San Francisco MLS,421610336,N,Y,37.7433698,-122.472796
MLS Listing,,Single Family Residential,2670 15th Ave,San Francisco,CA,94127,1999000,4,2.5,San Francisco,2335,3345,1935,4,856,,Active,,,http://www.redfin.com/CA/San-Francisco/2670-15th-Ave-94127/home/964369,San Francisco MLS,421605120,N,Y,37.7382133,-122.4707728
MLS Listing,,Condo/Co-op,288 Union St #3,San Francisco,CA,94133,2495000,1,1.0,San Francisco,,1746,,5,,,Active,,,http://www.redfin.com/CA/San-Francisco/288-Union-St-94133/unit-3/home/177160396,San Francisco MLS,421610414,N,Y,37.8012732,-122.4039336
MLS Listing,,Condo/Co-op,555 4th St #501,San Francisco,CA,94107,998000,2,2.0,San Francisco,938,63237,,5,1064,689,Active,,,http://www.redfin.com/CA/San-Francisco/555-4th-St-94107/unit-501/home/12402320,San Francisco MLS,421611073,N,Y,37.7791203,-122.3971915
MLS Listing,,Condo/Co-op,88 Townsend St #307,San Francisco,CA,94107,799000,1,1.0,San Francisco,593,37623,2004,5,1347,554,Active,November-20-2021 02:00 PM,November-20-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/88-Townsend-St-94102/unit-307/home/12401587,San Francisco MLS,421602210,N,Y,37.7811985,-122.3906654
MLS Listing,,Multi-Family (5+ Unit),3375 22nd St,San Francisco,CA,94110,2800000,4,4.0,San Francisco,4140,2850,1941,5,676,,Active,,,http://www.redfin.com/CA/San-Francisco/3375-22nd-St-94110/home/1855481,San Francisco MLS,421610443,N,Y,37.7549585,-122.4226281
MLS Listing,,Condo/Co-op,75 Lily St #5,San Francisco,CA,94102,535000,1,1.0,San Francisco,,1649,,5,,225,Active,,,http://www.redfin.com/CA/San-Francisco/75-Lily-St-94102/unit-5/home/39604033,San Francisco MLS,421611078,N,Y,37.7745084,-122.4220609
MLS Listing,,Single Family Residential,162 Caine Ave,San Francisco,CA,94112,1485000,5,5.0,San Francisco,2385,2495,1963,5,623,,Active,November-16-2021 01:30 PM,November-16-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/162-Caine-Ave-94112/home/1215319,San Francisco MLS,421611071,N,Y,37.715628,-122.452296
MLS Listing,,Multi-Family (5+ Unit),1692 - 1698 Haight St,San Francisco,CA,94117,4950000,0,,San Francisco,8730,3280,1908,5,567,,Active,,,http://www.redfin.com/CA/San-Francisco/1692-Haight-St-94117/home/1580001,San Francisco MLS,421611059,N,Y,37.7698236,-122.4500815
MLS Listing,,Vacant Land,1699 Quint St,San Francisco,CA,94124,200000,0,,San Francisco,,4473,,5,,,Active,,,http://www.redfin.com/CA/San-Francisco/1699-Quint-St-94124/home/110063542,San Francisco MLS,421611056,N,Y,37.7352076,-122.3975757
MLS Listing,,Condo/Co-op,1170 Sacramento St Unit 14C,San Francisco,CA,94108,5495000,2,2.5,San Francisco,2027,2692,1963,5,2711,3226,Active,,,http://www.redfin.com/CA/San-Francisco/1170-Sacramento-St-94108/unit-14C/home/1810985,BAREIS,421609398,N,Y,37.7929056,-122.4121403
MLS Listing,,Single Family Residential,2750 Lake St,San Francisco,CA,94121,3900000,4,2.0,San Francisco,2788,3746,1916,5,1399,,Active,November-20-2021 01:00 PM,November-20-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/2750-Lake-St-94121/home/606215,San Francisco MLS,421609504,N,Y,37.7852909,-122.4891569
MLS Listing,,Single Family Residential,357 Howth St,San Francisco,CA,94112,995000,4,2.0,San Francisco,1812,2637,1908,5,549,,Active,November-17-2021 03:00 PM,November-17-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/357-Howth-St-94112/home/1704792,San Francisco MLS,421610882,N,Y,37.7189659,-122.4519211
MLS Listing,,Multi-Family (5+ Unit),328 Pennsylvania Ave,San Francisco,CA,94107,4095000,0,,San Francisco,,4164,1960,5,,,Active,,,http://www.redfin.com/CA/San-Francisco/328-Pennsylvania-Ave-94107/home/1679582,San Francisco MLS,421611005,N,Y,37.762099,-122.3938743
MLS Listing,,Condo/Co-op,94 Malta Dr,San Francisco,CA,94131,680000,0,2.0,San Francisco,1600,2476,1977,5,425,33,Active,November-16-2021 12:00 PM,November-16-2021 01:30 PM,http://www.redfin.com/CA/San-Francisco/94-Malta-Dr-94131/home/1202193,San Francisco MLS,421610971,N,Y,37.7364751,-122.4439821
MLS Listing,,Condo/Co-op,601 Van Ness Ave #931,San Francisco,CA,94102,530000,1,1.0,San Francisco,585,105806,1982,5,906,850,Active,,,http://www.redfin.com/CA/San-Francisco/601-Van-Ness-Ave-94102/unit-931/home/1984185,San Francisco MLS,421610943,N,Y,37.7811165,-122.4213309
MLS Listing,,Single Family Residential,2418 Great Highway Hwy,San Francisco,CA,94116,1695000,3,2.0,San Francisco,,2996,1954,5,,,Active,November-16-2021 01:00 PM,November-16-2021 02:30 PM,http://www.redfin.com/CA/San-Francisco/2418-Great-Hwy-94116/home/1307771,San Francisco MLS,421605992,N,Y,37.7412721,-122.5064204
MLS Listing,,Single Family Residential,4353 17th St,San Francisco,CA,94114,849000,1,1.0,San Francisco,,1123,1909,5,,,Active,,,http://www.redfin.com/CA/San-Francisco/4353-17th-St-94114/home/1299551,San Francisco MLS,421594283,N,Y,37.7619358,-122.4417445
MLS Listing,,Multi-Family (2-4 Unit),1824 Church St,San Francisco,CA,94131,2895000,7,5.0,San Francisco,3843,3123,1976,5,753,,Active,,,http://www.redfin.com/CA/San-Francisco/1824-Church-St-94131/unit-1828A/home/813754,San Francisco MLS,421607536,N,Y,37.7414836,-122.4270088
MLS Listing,,Single Family Residential,223 Theresa St,San Francisco,CA,94112,1095000,2,2.0,San Francisco,1285,2500,1953,6,852,,Active,,,http://www.redfin.com/CA/San-Francisco/223-Theresa-St-94112/home/1186231,MetroList,421610929,N,Y,37.7296787,-122.435864
MLS Listing,,Single Family Residential,1472 Sanchez St,San Francisco,CA,94131,1800000,3,2.0,Noe Valley,1662,2495,1909,6,1083,,Active,,,http://www.redfin.com/CA/San-Francisco/1472-Sanchez-St-94131/home/1631830,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973754,N,Y,37.7455944,-122.4293954
MLS Listing,,Single Family Residential,3966 18Th St #1,San Francisco,CA,94114,1350000,2,1.0,Noe Valley,1525,2848,1931,6,885,,Active,November-21-2021 01:00 PM,November-21-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/3966-18th-St-94114/unit-1/home/177152387,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40973729,N,Y,37.7611708,-122.4321102
MLS Listing,,Single Family Residential,2647 38th Ave,SAN FRANCISCO,CA,94116,1195000,3,2.0,SAN FRANCISCO,1370,2996,1944,6,872,,Active,,,http://www.redfin.com/CA/San-Francisco/2647-38th-Ave-94116/home/664369,MLSListings,ML81869644,N,Y,37.7375214,-122.495998
